host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
90%,67%,4,1,Private room,1,2,1,89,$13.00 ,$0.00 ,1,1125,13,38.91784363,-77.045435,Washington,20009,DC
90%,67%,4,1,Private room,1,2,1,89,$13.00 ,$0.00 ,1,1125,5,38.91942783,-77.04696273,Washington,20009,DC
100%,29%,3,2,Private room,1,1,1,89,$20.00 ,$0.00 ,1,1125,0,38.92318992,-77.04730819,Washington,20009,DC
91%,100%,5,3,Private room,1,1,2,89,$35.00 ,$95.00 ,3,30,13,38.91256091,-77.01441127,Washington,20001,DC
100%,93%,2,2,Private room,1,1,1,89,$0.00 ,$0.00 ,2,7,169,38.91298656,-77.00964045,Washington,20002,DC
100%,100%,1,2,Private room,1,1.5,1,89,$0.00 ,$0.00 ,1,1125,59,38.91295484,-77.01253459,Washington,20001,DC
100%,100%,1,2,Private room,1,1,1,89,$0.00 ,$250.00 ,1,1125,61,38.91642372,-77.01280785,Washington,20001,DC
100%,93%,2,2,Private room,1,1,1,89,$0.00 ,$0.00 ,2,10,311,38.91066468,-77.00437663,Washington,20002,DC
80%,82%,2,2,Private room,1,1,1,89,$10.00 ,$0.00 ,3,30,42,38.91705585,-77.00728768,Washington,20002,DC
100%,100%,1,3,Private room,1,1.5,2,89,$20.00 ,$100.00 ,1,30,40,38.93401334,-77.04430338,Washington,20010,DC
100%,100%,2,2,Entire home/apt,1,1,1,89,$30.00 ,$500.00 ,1,1125,56,38.92819459,-77.02253007,Washington,20001,DC
50%,70%,1,2,Entire home/apt,0,1,1,89,$15.00 ,$0.00 ,1,1125,11,38.92893559,-77.031269,Washington,20010,DC
91%,100%,1,2,Private room,1,1,1,89,$0.00 ,$0.00 ,1,1125,0,38.92303952,-77.03022363,Washington,20009,DC
92%,98%,3,3,Entire home/apt,0,1,2,89,$75.00 ,$0.00 ,2,365,70,38.93376491,-77.04427971,Washington,20010,DC
50%,0%,1,2,Private room,1,1,1,89,$25.00 ,$0.00 ,1,1125,0,38.9262486,-77.02658629,Washington,20001,DC
100%,100%,1,1,Private room,1,1,1,89,$0.00 ,$0.00 ,1,90,8,38.92982881,-77.0226252,Washington,20010,DC
92%,99%,23,2,Private room,1,1,1,89,$0.00 ,$0.00 ,1,1125,4,38.93417382,-76.99070404,Washington,20017,DC
92%,99%,23,2,Private room,1,1,2,89,$0.00 ,$0.00 ,1,1125,3,38.93421562,-76.99089899,Washington,20017,DC
100%,0%,1,2,Entire home/apt,1,1,1,89,$55.00 ,"$1,300.00 ",14,1125,2,38.92270336,-77.07663313,Washington,20007,DC
0%,0%,1,1,Private room,1,1,1,89,$20.00 ,$0.00 ,2,5,6,38.92249287,-77.08037859,Washington,20007,DC
50%,100%,1,2,Entire home/apt,1,1,1,89,$25.00 ,,2,23,4,38.93469603,-77.06177889,Washington,20008,DC
,,1,2,Private room,1,1,1,89,,,1,1125,0,38.88816403,-76.98234673,Washington,20003,DC
92%,94%,30,5,Entire home/apt,0,1,3,90,$100.00 ,$0.00 ,3,999,29,38.90633377,-77.02626349,Washington,20001,DC
80%,80%,1,2,Private room,1,1,1,90,$0.00 ,$0.00 ,2,1125,6,38.87961619,-77.00434209,Washington,20003,DC
100%,100%,1,2,Private room,1,1,1,90,$10.00 ,$95.00 ,1,1125,2,38.87869082,-77.00537827,Washington,20003,DC
0%,0%,1,2,Private room,1,0.5,1,90,$0.00 ,$0.00 ,2,4,0,38.88746476,-76.95571354,Washington,20019,DC
100%,100%,1,2,Private room,1,1,1,90,$10.00 ,$0.00 ,2,1125,12,38.90507876,-77.0184392,Washington,20001,DC
100%,100%,2,1,Private room,1,1,1,90,$120.00 ,$100.00 ,1,1125,0,38.90422466,-77.00910445,Washington,20001,DC
92%,100%,1,1,Private room,1,1,1,90,$0.00 ,$0.00 ,1,1125,2,38.89964153,-77.02120483,Washington,20001,DC
75%,50%,1,3,Private room,1,2,2,90,$50.00 ,$0.00 ,6,22,0,38.90343909,-77.01632066,Washington,20001,DC
90%,86%,1,2,Entire home/apt,0,1,1,90,$0.00 ,$0.00 ,7,1125,2,38.89835087,-77.04653672,Washington,20052,DC
90%,95%,1,2,Private room,1,1,1,90,$0.00 ,$0.00 ,1,1125,47,38.90841899,-77.02792849,Washington,20001,DC
60%,100%,1,2,Entire home/apt,0,1,1,90,$0.00 ,$0.00 ,1,1125,1,38.90824285,-77.03314321,Washington,20005,DC
100%,88%,1,1,Private room,1,1,1,90,$35.00 ,$0.00 ,3,1125,20,38.91361895,-77.02271555,Washington,20001,DC
100%,86%,1,1,Private room,1,1,1,90,$25.00 ,$150.00 ,2,1125,4,38.91170685,-77.03245592,Washington,20009,DC
76%,50%,1,2,Private room,1,1,1,90,$0.00 ,$0.00 ,3,1125,5,38.90581546,-77.02100049,Washington,20001,DC
82%,57%,2,2,Entire home/apt,1,1,2,90,$60.00 ,$200.00 ,1,60,33,38.90048122,-76.98361281,Washington,20002,DC
100%,100%,1,2,Entire home/apt,1,1,1,90,$0.00 ,$100.00 ,3,1125,2,38.91,-77.05810695,Washington,20007,DC
63%,100%,1,1,Private room,1,1,1,90,$0.00 ,$150.00 ,3,27,8,38.90764267,-77.062471,Washington,20007,DC
100%,67%,1,2,Entire home/apt,0,1,1,90,$30.00 ,$0.00 ,2,1125,19,38.91518263,-77.03925945,Washington,20009,DC
36%,100%,3,2,Entire home/apt,1,1,1,90,$40.00 ,$0.00 ,5,180,41,38.91103772,-77.03763322,Washington,20036,DC
100%,100%,2,1,Private room,1,1.5,1,90,$90.00 ,$100.00 ,3,30,4,38.91623531,-77.03819816,Washington,20009,DC
100%,67%,1,2,Entire home/apt,0,1,1,90,$0.00 ,$0.00 ,2,1125,0,38.91241589,-77.03548598,Washington,20009,DC
100%,94%,12,2,Private room,1,1,1,90,$0.00 ,$0.00 ,2,95,3,38.91614908,-77.04022271,Washington,20009,DC
90%,74%,1,2,Entire home/apt,1,1,1,90,$50.00 ,$0.00 ,1,1125,0,38.90623395,-77.03460483,Washington,20005,DC
90%,100%,1,2,Private room,1,1,1,90,$0.00 ,$0.00 ,1,1125,8,38.90295607,-77.04954168,Washington,20037,DC
100%,58%,2,4,Private room,1,1,2,90,$0.00 ,$0.00 ,1,30,56,38.91747362,-77.03752434,Washington,20009,DC
92%,67%,2,2,Entire home/apt,1,1,1,90,$35.00 ,$0.00 ,5,23,3,38.91236503,-77.03820796,Washington,20009,DC
62%,71%,1,3,Private room,1,1,1,90,$20.00 ,$0.00 ,1,10,18,38.91056264,-77.04966941,Washington,20007,DC
0%,0%,1,2,Private room,1,1.5,1,90,$0.00 ,$0.00 ,1,1125,0,38.91503183,-77.0237975,Washington,20001,DC
0%,0%,1,2,Entire home/apt,1,1,1,90,$0.00 ,$0.00 ,1,1125,0,38.91863353,-77.03428645,Washington,20009,DC
100%,76%,2,2,Private room,1,2,1,90,$0.00 ,$0.00 ,2,1125,39,38.91563275,-77.01897144,Washington,20001,DC
100%,0%,1,1,Private room,1,1.5,1,90,$50.00 ,$100.00 ,2,1125,2,38.91858998,-77.02604946,Washington,20001,DC
100%,83%,2,2,Private room,1,1.5,1,90,$20.00 ,$0.00 ,1,10,11,38.91481677,-77.01999182,Washington,20001,DC
86%,100%,1,2,Private room,1,1,1,90,$20.00 ,$150.00 ,1,30,5,38.87648499,-77.0153615,Washington,20024,DC
96%,100%,1,4,Entire home/apt,1,1,1,90,$0.00 ,$0.00 ,1,1125,1,38.93970834,-76.99411326,Washington,20017,DC
70%,25%,1,3,Entire home/apt,1,1,1,90,$65.00 ,$0.00 ,2,31,1,38.93746082,-77.02621483,Washington,20010,DC
0%,0%,1,2,Entire home/apt,0,1,1,90,$0.00 ,$0.00 ,1,1125,0,38.93867725,-77.02736074,Washington,20011,DC
100%,80%,1,2,Private room,1,1,1,90,$20.00 ,$0.00 ,1,1125,11,38.95872984,-77.03049233,Washington,20011,DC
100%,60%,3,2,Entire home/apt,1,1,1,90,$30.00 ,$0.00 ,3,1125,3,38.94181219,-77.0225414,Washington,20011,DC
94%,100%,1,6,Private room,1,1,3,90,$0.00 ,$0.00 ,1,1125,0,38.94992934,-77.01492199,Washington,20011,DC
0%,0%,1,4,Entire home/apt,1,1,2,90,$85.00 ,$0.00 ,7,1125,0,38.94669558,-77.02292893,Washington,20011,DC
60%,100%,1,3,Private room,1,1,3,90,$40.00 ,$300.00 ,1,1125,5,38.95521071,-77.02010001,Washington,20011,DC
100%,100%,1,2,Private room,1,1.5,2,90,$10.00 ,$0.00 ,2,14,61,38.95706247,-77.0867532,Washington,20016,DC
94%,100%,1,2,Entire home/apt,1,1,2,90,$0.00 ,$0.00 ,1,730,58,38.97291227,-77.0206312,Washington,20012,DC
100%,100%,1,4,Private room,1,1,2,90,$0.00 ,$0.00 ,1,1125,52,38.98979262,-77.04603476,Washington,20012,DC
100%,100%,1,2,Private room,1,1,1,90,$0.00 ,$0.00 ,2,14,0,38.96215388,-77.06080182,Washington,20015,DC
80%,100%,2,3,Private room,1,1,2,90,$40.00 ,$0.00 ,3,90,7,38.86127099,-76.98691091,Washington,20020,DC
0%,0%,1,2,Private room,1,1,1,90,$0.00 ,$0.00 ,1,1125,0,38.8956269,-76.99363432,Washington,20002,DC
96%,79%,2,1,Private room,1,1,1,90,$0.00 ,$95.00 ,1,2,22,38.89532139,-76.99736846,Washington,20002,DC
90%,90%,2,2,Private room,1,1.5,1,90,$0.00 ,$0.00 ,1,1125,0,38.89568617,-76.99978939,Washington,20002,DC
90%,75%,2,2,Private room,1,2,1,90,$75.00 ,$0.00 ,1,1125,10,38.89474363,-76.99245242,Washington,20002,DC
100%,100%,1,3,Private room,1,2,2,90,$0.00 ,$0.00 ,1,1125,55,38.90089453,-77.00103733,Washington,20002,DC
90%,90%,2,4,Private room,1,1.5,1,90,$20.00 ,$100.00 ,1,60,9,38.89548866,-77.00105732,Washington,20002,DC
100%,100%,1,2,Private room,1,1.5,1,90,$30.00 ,$250.00 ,2,3,35,38.90443941,-76.99870915,Washington,20002,DC
80%,100%,1,1,Private room,1,1.5,1,90,$25.00 ,$0.00 ,1,1125,8,38.89947469,-76.99839912,Washington,20002,DC
100%,50%,1,2,Shared room,1,1,1,90,$0.00 ,$0.00 ,2,5,18,38.89800726,-77.0011273,Washington,20002,DC
99%,98%,222,2,Entire home/apt,1,1,1,90,$95.00 ,$400.00 ,3,1125,3,38.91631445,-77.04708206,Washington,20009,DC
100%,0%,1,4,Entire home/apt,1,1,1,90,$80.00 ,$0.00 ,2,30,1,38.92325758,-77.04053062,Washington,20009,DC
100%,100%,1,2,Entire home/apt,1,1,1,90,$30.00 ,$0.00 ,2,1125,18,38.92660133,-77.03864833,Washington,20009,DC
100%,80%,4,1,Shared room,1,1,1,90,$0.00 ,$0.00 ,1,4,77,38.91479192,-77.04738616,Washington,20009,DC
100%,100%,2,2,Private room,1,1,1,90,$15.00 ,$0.00 ,3,100,67,38.92166301,-77.04876887,Washington,20009,DC
90%,100%,1,4,Entire home/apt,0,1,1,90,$0.00 ,$0.00 ,3,1125,1,38.91917618,-77.04552415,Washington,20009,DC
0%,0%,1,1,Private room,1,1,1,90,$0.00 ,$0.00 ,1,1125,0,38.91181136,-77.00959556,Washington,20001,DC
100%,100%,1,2,Entire home/apt,1,1,1,90,$25.00 ,$0.00 ,2,1125,6,38.92214673,-77.00316691,Washington,20002,DC
75%,100%,1,2,Private room,1,1,1,90,$0.00 ,$200.00 ,2,1125,1,38.91078166,-77.01006549,Washington,20001,DC
90%,100%,1,2,Entire home/apt,1,1,1,90,$75.00 ,$0.00 ,2,14,13,38.92518047,-76.99935432,Washington,20017,DC
100%,100%,1,2,Entire home/apt,1,1,1,90,$25.00 ,$0.00 ,2,1125,4,38.92052349,-77.00505553,Washington,20002,DC
67%,100%,1,2,Private room,1,1.5,1,90,$0.00 ,$0.00 ,1,1125,2,38.92711928,-77.00911627,Washington,20002,DC
100%,100%,1,2,Entire home/apt,2,1,2,90,$50.00 ,$150.00 ,2,1125,2,38.91673215,-77.00942275,Washington,20001,DC
100%,0%,1,1,Private room,1,1,1,90,$0.00 ,$0.00 ,1,1125,0,38.92628714,-76.99808153,Washington,20017,DC
100%,75%,2,4,Private room,1,1,2,90,$20.00 ,$0.00 ,1,1125,3,38.92197296,-77.00173766,Washington,20002,DC
97%,56%,2,3,Entire home/apt,1,1,1,90,$25.00 ,$0.00 ,1,3,1,38.92272896,-77.03341976,Washington,20009,DC
100%,50%,1,4,Entire home/apt,1,1,2,90,$75.00 ,$0.00 ,2,1125,0,38.92437504,-77.03450238,Washington,20009,DC
100%,67%,1,2,Private room,1,1,1,90,$15.00 ,$95.00 ,1,1125,98,38.92831157,-77.02443467,Washington,20010,DC
100%,100%,2,2,Private room,1,1,1,90,$0.00 ,$0.00 ,1,1125,6,38.92647666,-77.02935619,Washington,20009,DC
100%,100%,2,2,Entire home/apt,0,1,1,90,$20.00 ,$0.00 ,2,180,5,38.93569141,-77.04235192,Washington,20010,DC
0%,0%,1,2,Private room,1,1,1,90,$15.00 ,$0.00 ,1,1125,0,38.9320996,-77.02556423,Washington,20010,DC
100%,100%,1,2,Entire home/apt,0,1,1,90,$30.00 ,$0.00 ,1,1125,9,38.93351314,-77.04636449,Washington,20010,DC
85%,88%,1,2,Entire home/apt,1,1,1,90,$0.00 ,$0.00 ,2,1125,12,38.92453046,-77.02812081,Washington,20009,DC
0%,0%,1,2,Entire home/apt,1,1,1,90,$0.00 ,$0.00 ,1,1125,4,38.92698878,-77.03723663,Washington,20009,DC
0%,0%,1,1,Private room,1,1,1,90,$0.00 ,$0.00 ,1,5,2,38.93611906,-77.03438126,Washington,20010,DC
0%,0%,1,4,Private room,1,1,1,90,$0.00 ,$0.00 ,3,21,1,38.9274839,-77.0331267,Washington,20009,DC
100%,100%,1,3,Entire home/apt,1,1,1,90,$10.00 ,$0.00 ,1,1125,11,38.93603588,-77.03654654,Washington,20010,DC
0%,0%,1,4,Entire home/apt,2,1.5,2,90,$155.00 ,$0.00 ,3,66,23,38.92568555,-77.03497122,Washington,20009,DC
89%,85%,2,2,Entire home/apt,0,1,1,90,$30.00 ,$0.00 ,2,1125,0,38.93019489,-77.03387312,Washington,20010,DC
90%,100%,1,2,Entire home/apt,1,1,1,90,$20.00 ,$0.00 ,2,1125,12,38.92942751,-77.03784454,Washington,20010,DC
70%,67%,1,1,Entire home/apt,1,1,1,90,$50.00 ,$0.00 ,20,1125,7,38.9305646,-77.03394656,Washington,20010,DC
88%,100%,1,4,Entire home/apt,1,1,2,90,$40.00 ,$250.00 ,2,1125,4,38.93408524,-77.03573175,Washington,20010,DC
100%,100%,1,1,Private room,1,1,1,90,$15.00 ,$0.00 ,1,1125,1,38.9225562,-77.03354609,Washington,20009,DC
50%,86%,1,4,Entire home/apt,0,1,1,90,$0.00 ,$0.00 ,2,1125,14,38.92776587,-77.03985106,Washington,20009,DC
100%,100%,1,4,Entire home/apt,1,1,2,90,$20.00 ,$0.00 ,1,1125,46,38.93808649,-76.97000923,Mount Rainier,20712,MD
0%,0%,1,3,Entire home/apt,2,2.5,2,90,$135.00 ,$0.00 ,3,1125,0,38.93679886,-76.97525353,Washington,20018,DC
100%,100%,1,2,Private room,1,1,1,90,$0.00 ,$100.00 ,1,30,3,38.92147089,-77.08065993,Washington,20007,DC
80%,45%,1,2,Entire home/apt,1,1,1,90,$0.00 ,$350.00 ,2,14,4,38.91998293,-77.08158976,Washington,20007,DC
90%,73%,2,2,Private room,1,1,1,90,$25.00 ,$250.00 ,3,10,7,38.93148695,-77.05581911,Washington,20008,DC
100%,100%,1,1,Entire home/apt,0,1,1,90,,,3,1125,4,38.89112799,-76.9996535,Washington,20002,DC
100%,100%,2,2,Entire home/apt,0,1,1,90,$40.00 ,$350.00 ,15,1000,15,38.8791837,-76.98254937,Washington,20003,DC
100%,67%,1,2,Private room,1,1,1,90,$20.00 ,,1,1125,6,38.89067671,-76.98195903,Washington,20002,DC
100%,100%,1,1,Private room,1,1,1,90,$50.00 ,"$1,000.00 ",1,1125,3,38.89108563,-76.99686234,Washington,20002,DC
64%,72%,1,4,Private room,1,2,2,90,$40.00 ,,1,1125,2,38.88193637,-76.99544621,Washington,20003,DC
90%,89%,1,4,Entire home/apt,0,1,3,90,$50.00 ,$300.00 ,1,8,56,38.88527065,-76.98367713,"Washington, D.C.",20003,DC
100%,100%,1,4,Entire home/apt,1,1,2,90,$40.00 ,$100.00 ,3,365,76,38.88435233,-76.98162382,Washington,20003,DC
70%,100%,1,2,Private room,1,1,1,90,$10.00 ,,1,1125,14,38.88290074,-76.97822035,Washington,20003,DC
90%,100%,2,3,Private room,1,1,2,90,,$100.00 ,1,24,167,38.8853469,-76.98183314,Washington,20003,DC
100%,100%,1,2,Private room,1,1,1,90,,,1,1125,1,38.88414994,-76.9821214,Washington,20003,DC
100%,100%,1,2,Entire home/apt,1,1,1,90,$30.00 ,,1,1125,2,38.89029612,-76.97920115,Washington,20003,DC
50%,,1,2,Entire home/apt,1,1,1,90,,,3,1125,0,38.89097307,-76.99267241,Washington,20002,DC
100%,90%,1,4,Entire home/apt,1,1,1,91,$25.00 ,$150.00 ,1,1125,39,38.94269468,-77.02245728,Washington,20011,DC
97%,100%,8,3,Entire home/apt,1,1,2,91,$55.00 ,$190.00 ,4,1125,0,38.94664905,-77.06073404,Washington,20008,DC
97%,57%,4,4,Entire home/apt,0,1,1,91,$50.00 ,$0.00 ,1,1125,0,38.91638272,-77.0479709,Washington,20008,DC
94%,92%,1,3,Entire home/apt,0,1,1,91,$40.00 ,$200.00 ,2,1125,19,38.93134112,-76.98944084,Washington,20017,DC
100%,100%,4,3,Private room,1,1.5,1,92,$30.00 ,$150.00 ,1,1125,17,38.88061224,-77.01810735,Washington,20024,DC
90%,56%,1,4,Entire home/apt,0,1,1,92,$10.00 ,$0.00 ,1,1125,10,38.94036796,-77.05958786,Washington,20008,DC
100%,100%,3,2,Private room,1,1,1,92,$0.00 ,$0.00 ,3,21,84,38.96053643,-77.08333378,Washington,20015,DC
60%,100%,1,2,Entire home/apt,0,1,1,92,$0.00 ,$0.00 ,1,1125,2,38.92336494,-77.02884955,Washington,20009,DC
100%,89%,1,1,Private room,1,1.5,1,93,$15.00 ,$95.00 ,1,1125,35,38.90923495,-77.01865411,Washington,20001,DC
100%,100%,2,4,Entire home/apt,1,1,2,93,$50.00 ,$0.00 ,1,7,1,38.89647103,-76.98297037,Washington,20002,DC
67%,0%,1,3,Entire home/apt,0,1,2,93,$100.00 ,$0.00 ,6,1125,3,38.91187938,-77.04923251,Washington,20008,DC
97%,100%,8,3,Entire home/apt,0,1,2,93,$52.00 ,$150.00 ,4,365,0,38.92501539,-77.04079136,Washington,20009,DC
100%,100%,1,2,Entire home/apt,0,1,1,93,$40.00 ,$150.00 ,3,6,10,38.93569108,-77.03334946,"Washington, D.C.",20010,DC
100%,93%,1,2,Private room,1,1,1,94,$0.00 ,$0.00 ,2,21,150,38.91042775,-77.02061907,Washington,20001,DC
100%,100%,4,4,Private room,1,1.5,1,94,$15.00 ,$95.00 ,1,31,18,38.84081712,-76.97797504,Washington,20032,DC
100%,100%,2,3,Private room,1,1.5,2,94,$25.00 ,$0.00 ,2,31,15,38.91087382,-76.9864179,Washington,20002,DC
100%,86%,1,3,Entire home/apt,1,1,1,94,$25.00 ,$0.00 ,4,1125,4,38.90927246,-77.04002963,Washington,20036,DC
74%,29%,1,2,Entire home/apt,1,1,1,94,$75.00 ,$0.00 ,1,30,4,38.91813171,-77.03316718,Washington,20009,DC
83%,100%,1,3,Entire home/apt,1,1,1,94,$50.00 ,$0.00 ,1,1125,2,38.88071214,-77.01610859,Washington,20024,DC
62%,77%,1,3,Entire home/apt,0,1,2,94,$0.00 ,$0.00 ,1,1125,2,38.87803028,-77.01991356,Washington,20024,DC
33%,100%,1,3,Entire home/apt,0,1,1,94,$60.00 ,$0.00 ,1,1125,0,38.8740217,-77.01054858,Washington,20003,DC
100%,100%,2,4,Entire home/apt,2,1,2,94,$50.00 ,$0.00 ,3,1125,0,38.93740395,-77.03229756,Washington,20010,DC
96%,79%,2,2,Entire home/apt,1,1,2,94,$25.00 ,$150.00 ,2,3,5,38.89524696,-76.99588965,Washington,20002,DC
100%,0%,1,2,Entire home/apt,1,1,1,94,$0.00 ,$0.00 ,1,1125,0,38.9315247,-77.02016633,Washington,20010,DC
90%,88%,1,4,Entire home/apt,0,1,2,94,$30.00 ,$100.00 ,1,30,51,38.93049348,-77.04278983,Washington,20010,DC
100%,100%,1,3,Private room,1,1,1,94,$10.00 ,,1,12,50,38.87929507,-76.98321381,Washington,20003,DC
100%,0%,1,2,Private room,1,1,1,95,0,0,1,1125,0,38.87213388,-77.01963879,Washington,20024,DC
100%,89%,2,2,Private room,1,1,1,95,$100.00 ,$0.00 ,1,1125,1,38.88008663,-77.00731287,Washington,20003,DC
50%,100%,1,2,Private room,1,2,1,95,$10.00 ,$0.00 ,1,1125,0,38.90049015,-77.01566757,Washington,20001,DC
100%,95%,1,2,Entire home/apt,0,1,1,95,$25.00 ,$0.00 ,2,29,35,38.89933372,-77.0164596,Washington,20001,DC
92%,100%,4,3,Entire home/apt,1,1,1,95,$35.00 ,$0.00 ,2,1125,70,38.90504369,-77.01880601,Washington,20001,DC
100%,100%,1,2,Private room,1,1.5,1,95,$0.00 ,$0.00 ,1,28,44,38.90583953,-77.01062106,Washington,20001,DC
100%,100%,3,2,Private room,1,1,1,95,$40.00 ,$100.00 ,1,1125,7,38.9068572,-77.05213355,Washington,20037,DC
0%,100%,1,3,Entire home/apt,0,1,1,95,$0.00 ,$0.00 ,1,1125,0,38.90332361,-77.05291279,Washington,20037,DC
100%,94%,7,1,Entire home/apt,0,1,1,95,$50.00 ,$0.00 ,5,600,21,38.8997439,-77.04306753,Washington,20037,DC
100%,100%,1,3,Entire home/apt,0,1,2,95,$30.00 ,$0.00 ,1,1125,3,38.90635418,-77.04766946,Washington,20036,DC
100%,100%,1,2,Private room,1,1,1,95,$20.00 ,$0.00 ,2,1125,53,38.91013843,-77.02908112,"Washington, D.C.",20001,DC
0%,0%,1,1,Private room,1,1,1,95,$0.00 ,$0.00 ,1,1125,0,38.91227316,-77.03041197,Washington,20009,DC
90%,38%,2,2,Private room,1,1,1,95,$25.00 ,$250.00 ,1,1125,3,38.91080243,-77.03306206,Washington,20005,DC
80%,100%,1,4,Entire home/apt,1,1,1,95,$75.00 ,$400.00 ,3,365,13,38.90584292,-77.03123953,Washington,20005,DC
100%,100%,2,2,Entire home/apt,1,1,1,95,$50.00 ,$100.00 ,3,1125,0,38.90290409,-76.98986208,Washington,20002,DC
100%,0%,1,4,Entire home/apt,1,1,2,95,$0.00 ,$0.00 ,1,1125,0,38.91130815,-76.98668878,Washington,20002,DC
100%,25%,6,1,Entire home/apt,0,1,1,95,$50.00 ,$0.00 ,5,1125,0,38.90542372,-77.05746967,Washington,20007,DC
100%,25%,6,1,Entire home/apt,0,1,1,95,$50.00 ,$0.00 ,5,1125,0,38.90658948,-77.05816702,Washington,20007,DC
100%,25%,6,1,Entire home/apt,0,1,1,95,$50.00 ,$0.00 ,5,1125,0,38.90716108,-77.05783074,Washington,20007,DC
100%,25%,6,1,Entire home/apt,0,1,1,95,$50.00 ,$0.00 ,5,1125,0,38.90572304,-77.0577862,Washington,20007,DC
100%,94%,12,3,Entire home/apt,1,1,1,95,$40.00 ,$0.00 ,2,100,15,38.91791762,-77.03784185,Washington,20009,DC
100%,67%,1,2,Entire home/apt,1,1,1,95,$75.00 ,$100.00 ,1,1125,2,38.91449083,-77.04066289,Washington,20009,DC
75%,50%,1,2,Private room,1,1,1,95,$0.00 ,$0.00 ,1,1125,1,38.91718045,-77.03668325,Washington,20009,DC
67%,100%,1,2,Entire home/apt,0,1,1,95,$0.00 ,$0.00 ,3,30,6,38.91179596,-77.03821477,Washington,20009,DC
92%,99%,23,1,Private room,1,0,1,95,$0.00 ,$0.00 ,1,1125,27,38.90715734,-77.04262622,Washington,20036,DC
100%,80%,4,1,Shared room,1,1,1,95,$0.00 ,$0.00 ,1,5,74,38.90932655,-77.03484464,Washington,20005,DC
90%,29%,1,1,Private room,1,1,1,95,$0.00 ,$95.00 ,2,1125,19,38.91138664,-77.0354572,Washington,20009,DC
92%,99%,23,2,Private room,1,1,1,95,$0.00 ,$0.00 ,1,1125,10,38.91450261,-77.03795825,Washington,20009,DC
92%,99%,23,2,Private room,1,1,1,95,$0.00 ,$0.00 ,1,1125,15,38.91565608,-77.03815404,Washington,20009,DC
100%,0%,1,3,Private room,1,2,2,95,$60.00 ,$200.00 ,2,30,31,38.91587887,-77.02538744,Washington,20009,DC
90%,100%,1,2,Entire home/apt,1,1,1,95,$110.00 ,$100.00 ,2,180,3,38.9166159,-77.02538813,Washington,20001,DC
0%,0%,1,3,Entire home/apt,1,1,1,95,$25.00 ,$100.00 ,1,1125,0,38.91664996,-77.03178193,Washington,20009,DC
92%,90%,2,2,Entire home/apt,1,1,1,95,$8.00 ,$125.00 ,1,1125,4,38.9196735,-77.02743356,Washington,20001,DC
100%,100%,1,1,Private room,1,1,1,95,$0.00 ,$0.00 ,2,30,16,38.91841734,-77.02750026,Washington,20009,DC
100%,100%,1,2,Private room,1,1.5,1,95,$0.00 ,$0.00 ,1,1125,4,38.91532787,-77.02617108,Washington,20001,DC
100%,100%,1,2,Entire home/apt,1,1,2,95,$0.00 ,$0.00 ,2,1125,11,38.91968408,-77.03254613,"Washington, D.C.",20009,DC
0%,0%,1,4,Entire home/apt,0,1,1,95,$40.00 ,$0.00 ,1,1125,12,38.87980141,-77.02113006,Washington,20024,DC
100%,100%,1,2,Entire home/apt,1,1,1,95,$0.00 ,$0.00 ,1,1125,0,38.87768779,-77.0196213,Washington,20024,DC
100%,100%,1,2,Entire home/apt,1,1,1,95,$5.00 ,$0.00 ,2,1125,5,38.93883691,-77.02358312,Washington,20011,DC
100%,60%,3,2,Private room,1,1.5,1,95,$35.00 ,$350.00 ,3,1125,3,38.94214576,-77.02223361,Washington,20011,DC
100%,0%,1,2,Private room,1,1,1,95,$20.00 ,$0.00 ,1,1125,5,38.95034726,-77.02269006,Washington,20011,DC
90%,100%,2,6,Entire home/apt,2,1,2,95,$35.00 ,$0.00 ,1,1125,9,38.94987987,-77.01579512,Washington,20011,DC
100%,86%,1,3,Private room,1,1,1,95,$40.00 ,$100.00 ,2,1125,16,38.95870647,-77.08493642,Washington,20015,DC
100%,100%,1,2,Entire home/apt,0,1,1,95,$60.00 ,$0.00 ,5,1125,0,38.96680265,-77.02118847,Washington,20011,DC
100%,100%,1,2,Entire home/apt,1,1,1,95,$0.00 ,$0.00 ,1,1125,0,38.96799892,-77.02463253,Washington,20012,DC
0%,0%,1,1,Private room,1,1,1,95,$0.00 ,$0.00 ,1,1125,0,38.95352374,-77.0019278,Washington,20011,DC
90%,100%,2,4,Entire home/apt,2,1,2,95,$35.00 ,$0.00 ,1,1125,3,38.94814154,-77.01509562,Washington,20011,DC
100%,0%,1,2,Private room,1,1,1,95,$0.00 ,$0.00 ,1,1125,12,38.95818157,-77.06799567,Washington,20015,DC
86%,50%,1,2,Private room,1,1,1,95,$0.00 ,$0.00 ,1,1125,0,38.89500721,-76.98048778,Washington,20002,DC
100%,100%,1,3,Entire home/apt,1,1,1,95,$0.00 ,$0.00 ,2,1125,13,38.89767896,-76.99471815,Washington,20002,DC
100%,100%,5,2,Private room,1,1,1,95,$50.00 ,$0.00 ,1,93,61,38.89781634,-76.99456414,Washington,20002,DC
85%,94%,2,3,Entire home/apt,1,1,2,95,$35.00 ,$0.00 ,2,700,14,38.89681839,-76.99547501,Washington,20002,DC
